Age of respondent,Highest year of school completed,"Highest year school completed, father","Highest year school completed, mother","Highest year school completed, spouse",Rs highest degree,Respondents sex,Rs occupational prestige score (2010)
82,13,16,12,20,High school,Female,53
66,16,16,16,20,Bachelor,Male,64
47,16,14,12,14,Bachelor,Female,64
53,16,Not applicable,12,16,Bachelor,Male,59
70,17,Not applicable,12,17,Graduate,Female,74
32,16,16,14,14,Bachelor,Female,61
26,12,12,Don't know,Not applicable,High school,Female,32
35,16,12,12,16,Bachelor,Female,46
59,19,12,12,16,Graduate,Male,69
55,14,Not applicable,18,16,Lt high school,Male,49
41,16,16,16,16,Bachelor,Female,67
85,14,Not applicable,12,Not applicable,Bachelor,Male,64
50,16,20,20,Not applicable,Bachelor,Female,43
56,12,8,10,Not applicable,High school,Male,27
77,12,10,11,Not applicable,High school,Male,46
49,12,Not applicable,12,Not applicable,High school,Male,45
57,14,14,Not applicable,Not applicable,High school,Male,53
66,14,12,12,Not applicable,High school,Male,38
56,13,12,12,Not applicable,High school,Male,20
55,14,12,12,12,Junior college,Male,44
45,17,14,14,Not applicable,Bachelor,Male,51
66,14,12,12,12,Junior college,Male,53
60,12,12,12,12,High school,Male,22
58,12,12,14,12,High school,Female,44
28,12,Don't know,12,11,High school,Female,48
45,16,12,17,11,Graduate,Female,64
87,11,6,8,11,Lt high school,Female,35
56,16,8,12,Not applicable,Bachelor,Female,31
24,12,12,15,Not applicable,High school,Male,24
72,13,Not applicable,12,12,High school,Female,46
49,16,Not applicable,13,Not applicable,Bachelor,Female,64
25,12,Not applicable,Don't know,Not applicable,High school,Female,48
53,11,12,12,Not applicable,Lt high school,Male,35
23,12,Don't know,12,Not applicable,Lt high school,Male,33
23,12,Not applicable,9,Not applicable,High school,Female,28
73,14,11,3,14,Junior college,Female,40
18,12,9,8,12,High school,Female,35
58,14,8,8,Not applicable,Junior college,Male,40
85,16,0,12,Not applicable,Bachelor,Male,43
25,12,12,12,Not applicable,High school,Male,49
72,16,9,14,Not applicable,Bachelor,Female,52
70,13,12,7,Not applicable,High school,Female,42
62,12,Not applicable,8,Not applicable,High school,Female,50
85,19,9,8,Not applicable,Graduate,Male,59
39,15,Not applicable,12,Not applicable,Junior college,Female,48
68,15,7,3,Not applicable,High school,Male,62
64,12,16,Not applicable,Not applicable,High school,Female,54
75,12,5,12,Not applicable,High school,Male,49
55,7,Don't know,Don't know,7,Lt high school,Male,45
35,12,12,Don't know,11,High school,Male,40
24,12,13,13,Not applicable,High school,Female,48
27,12,12,Don't know,Not applicable,High school,Male,37
28,10,6,6,11,High school,Female,38
61,18,12,18,Not applicable,Graduate,Male,51
67,13,19,13,16,High school,Female,60
80,10,Not applicable,Don't know,Not applicable,Lt high school,Male,42
86,16,16,16,Not applicable,Graduate,Female,74
33,12,9,6,12,High school,Female,21
28,18,12,12,Not applicable,Bachelor,Female,61
30,9,5,15,Not applicable,High school,Female,31
23,14,18,14,Not applicable,High school,Female,48
45,18,16,16,20,Graduate,Female,64
77,11,11,12,Not applicable,Lt high school,Male,36
39,11,12,12,11,Lt high school,Female,39
81,14,5,5,12,High school,Male,38
32,9,Don't know,Don't know,Not applicable,Lt high school,Female,28
34,11,Not applicable,8,11,Lt high school,Male,32
39,19,11,18,Not applicable,Junior college,Female,61
59,13,3,1,Not applicable,High school,Female,53
49,13,5,5,Not applicable,Bachelor,Male,26
84,16,Don't know,16,6,Bachelor,Male,65
24,11,11,11,Not applicable,Lt high school,Female,21
52,13,16,6,12,High school,Male,49
36,12,7,15,10,High school,Female,29
30,6,Not applicable,0,6,Lt high school,Female,0
67,12,Don't know,Don't know,Not applicable,High school,Female,36
18,10,9,Not applicable,Not applicable,Lt high school,Male,0
53,12,12,12,Not applicable,High school,Female,48
49,9,Not applicable,Don't know,Not applicable,High school,Female,28
24,13,11,10,Not applicable,High school,Female,35
72,8,Don't know,Don't know,Not applicable,Lt high school,Female,33
54,12,2,1,10,High school,Female,35
21,12,3,12,Not applicable,High school,Male,29
34,9,12,12,12,High school,Male,49
60,12,12,12,Not applicable,High school,Female,55
25,12,12,Not applicable,12,High school,Female,0
53,12,4,4,Not applicable,High school,Female,32
33,12,12,Don't know,12,High school,Male,45
30,12,16,15,12,High school,Female,61
43,11,Don't know,Don't know,Not applicable,High school,Male,27
27,10,Not applicable,Don't know,Not applicable,Lt high school,Male,43
57,11,Not applicable,12,Not applicable,High school,Male,28
43,8,Not applicable,3,Not applicable,Lt high school,Female,25
49,13,Not applicable,12,Not applicable,High school,Female,33
61,10,10,Don't know,Not applicable,Lt high school,Female,33
39,14,14,10,Not applicable,High school,Male,35
54,14,9,14,Not applicable,High school,Female,33
55,8,Don't know,Don't know,6,Lt high school,Female,33
54,12,10,12,Not applicable,High school,Male,33
49,11,9,4,9,Lt high school,Male,45
77,12,Don't know,Don't know,Not applicable,High school,Female,48
80,10,5,5,5,High school,Female,24
43,10,12,8,10,Lt high school,Male,47
45,4,3,5,Not applicable,Lt high school,Female,21
33,15,12,12,14,High school,Male,52
51,14,12,12,Not applicable,High school,Male,49
34,12,Not applicable,7,Not applicable,High school,Female,33
28,17,12,Not applicable,16,Bachelor,Male,63
35,15,16,16,15,Junior college,Female,49
61,16,18,12,Not applicable,Bachelor,Male,63
35,20,16,18,15,Graduate,Female,64
66,14,12,13,Not applicable,High school,Female,51
43,12,16,5,Not applicable,High school,Male,50
20,11,Not applicable,9,Not applicable,High school,Male,43
60,20,20,18,18,Graduate,Male,64
64,13,14,12,14,Junior college,Female,54
34,12,Not applicable,12,Not applicable,High school,Male,37
60,12,10,12,Not applicable,High school,Male,48
34,12,14,14,Not applicable,High school,Male,44
31,14,Not applicable,12,16,High school,Female,52
24,12,16,12,Not applicable,High school,Male,55
64,16,8,8,Not applicable,Bachelor,Female,69
38,15,Not applicable,12,Not applicable,Junior college,Female,31
56,11,10,12,Not applicable,Lt high school,Male,32
60,17,6,12,Not applicable,Bachelor,Female,18
27,13,Don't know,18,Not applicable,High school,Male,45
25,12,14,Not applicable,Not applicable,High school,Female,32
38,12,5,12,Not applicable,High school,Male,35
71,16,8,12,Not applicable,Bachelor,Female,46
73,11,Not applicable,Don't know,12,High school,Male,55
61,20,Not applicable,10,15,Graduate,Female,64
30,9,3,6,Not applicable,Lt high school,Female,25
66,20,Not applicable,11,Not applicable,Graduate,Female,74
53,12,12,15,Not applicable,High school,Female,26
41,16,20,16,16,Bachelor,Male,74
56,18,16,16,20,Graduate,Female,65
26,16,20,16,16,Bachelor,Female,38
39,19,12,10,14,Bachelor,Male,60
60,16,16,16,16,Bachelor,Female,42
56,20,19,18,14,Graduate,Male,72
18,12,16,14,Not applicable,High school,Female,0
62,16,16,18,16,Graduate,Female,37
48,14,Not applicable,16,18,High school,Female,53
44,20,13,15,20,Graduate,Female,39
55,16,12,12,14,Graduate,Male,72
21,15,20,16,Not applicable,High school,Male,0
24,16,16,16,Not applicable,Bachelor,Male,54
36,14,15,14,12,High school,Male,46
29,16,16,16,Not applicable,Bachelor,Male,62
66,15,8,8,Not applicable,High school,Female,69
33,16,18,16,Not applicable,Bachelor,Female,64
58,14,12,Not applicable,Not applicable,Junior college,Male,25
76,12,Don't know,7,Not applicable,High school,Female,37
46,12,12,10,Not applicable,High school,Male,35
30,12,Not applicable,16,Not applicable,High school,Female,21
49,17,16,Not applicable,Not applicable,Bachelor,Female,64
51,14,14,14,Not applicable,Junior college,Male,46
63,12,Don't know,12,12,High school,Male,32
39,10,12,12,13,High school,Male,62
69,14,8,12,Not applicable,High school,Female,26
24,12,8,13,12,High school,Male,45
No answer,20,5,5,12,Graduate,Male,64
42,6,3,6,Not applicable,Lt high school,Female,22
30,12,3,3,13,High school,Male,45
32,13,4,0,12,High school,Female,40
41,6,Not applicable,2,9,Lt high school,Female,0
67,13,6,6,Not applicable,High school,Female,47
28,14,16,16,Not applicable,High school,Female,47
60,16,8,8,Not applicable,Bachelor,Female,54
51,14,18,14,Not applicable,High school,Female,39
32,16,20,14,Not applicable,High school,Male,49
28,16,12,12,Not applicable,High school,Male,25
59,13,6,12,12,High school,Male,46
38,9,9,9,9,Lt high school,Female,21
70,12,12,15,6,High school,Female,59
36,15,Not applicable,12,Not applicable,Junior college,Male,31
29,16,Not applicable,7,Not applicable,Bachelor,Male,47
59,2,0,0,Not applicable,Lt high school,Male,27
42,9,Not applicable,1,2,Lt high school,Female,47
60,12,Not applicable,12,Not applicable,High school,Male,22
56,13,7,9,Not applicable,High school,Male,40
34,18,12,14,Not applicable,Graduate,Male,53
32,16,Not applicable,14,Not applicable,Bachelor,Female,59
22,12,Not applicable,18,Not applicable,High school,Female,30
35,13,15,11,11,High school,Female,26
22,12,12,12,Not applicable,High school,Female,34
25,12,12,Not applicable,Not applicable,High school,Female,35
44,12,12,12,Not applicable,High school,Male,39
66,12,12,12,Not applicable,High school,Female,48
44,11,Not applicable,11,Not applicable,Lt high school,Male,22
47,0,0,0,Not applicable,Lt high school,Male,33
21,12,12,12,Not applicable,High school,Male,37
43,9,0,0,Not applicable,Lt high school,Female,27
51,8,Not applicable,Don't know,Not applicable,Lt high school,Male,27
67,14,12,12,12,Junior college,Female,47
71,14,6,12,18,High school,Male,45
85,16,12,12,Not applicable,Bachelor,Female,61
72,19,11,12,Not applicable,Graduate,Female,62
51,12,7,13,Not applicable,High school,Female,35
81,11,0,0,0,Lt high school,Male,0
60,15,16,Not applicable,Not applicable,High school,Female,51
56,17,12,12,19,Bachelor,Female,46
55,17,Not applicable,14,13,Bachelor,Female,61
49,15,13,14,16,High school,Male,51
64,15,12,12,14,Junior college,Female,64
29,20,12,13,Not applicable,Bachelor,Female,21
46,16,14,12,Not applicable,Graduate,Female,69
19,12,13,Not applicable,Not applicable,High school,Female,0
19,12,3,4,Not applicable,High school,Female,0
19,12,16,16,Not applicable,High school,Male,0
41,16,13,12,16,Bachelor,Female,62
25,16,12,12,Not applicable,Bachelor,Male,50
73,15,17,17,16,High school,Male,38
74,13,12,12,12,High school,Male,60
53,12,12,10,No answer,High school,Female,64
49,12,15,11,Not applicable,High school,Female,39
69,15,12,12,14,High school,Male,44
55,18,12,12,16,Bachelor,Male,65
51,15,16,20,15,High school,Male,45
68,14,12,12,Not applicable,Junior college,Male,50
66,15,8,12,12,Junior college,Female,46
63,18,8,12,Not applicable,Bachelor,Male,59
57,17,12,12,Not applicable,Junior college,Male,33
44,20,18,14,16,Graduate,Male,66
26,16,14,Not applicable,Not applicable,Bachelor,Female,64
44,20,16,13,Not applicable,Graduate,Male,73
58,19,Don't know,12,Not applicable,Graduate,Female,72
41,14,12,14,Not applicable,Junior college,Female,33
24,19,16,16,12,Bachelor,Male,31
28,15,10,16,14,Junior college,Female,46
36,16,Not applicable,19,Not applicable,Bachelor,Female,47
34,14,13,12,16,Junior college,Male,51
25,14,14,16,15,High school,Female,52
62,14,Don't know,12,19,High school,Female,44
33,12,20,17,Not applicable,High school,Female,32
37,14,Not applicable,16,Not applicable,High school,Male,60
36,9,13,12,Not applicable,Lt high school,Male,49
41,10,14,12,Not applicable,High school,Male,35
61,12,12,13,Not applicable,High school,Female,53
71,19,15,14,17,Graduate,Male,73
53,20,18,16,20,Graduate,Male,61
44,12,Not applicable,12,Not applicable,High school,Male,37
50,14,Not applicable,6,Not applicable,Junior college,Male,45
75,11,12,12,Not applicable,Lt high school,Male,35
69,16,12,Not applicable,Not applicable,High school,Female,53
63,18,14,14,15,Bachelor,Female,0
80,12,8,4,Not applicable,High school,Female,49
66,12,10,10,16,High school,Male,26
35,12,12,Not applicable,Not applicable,High school,Male,41
44,12,18,14,12,High school,Male,42
81,12,12,9,Not applicable,High school,Female,25
76,14,16,14,13,High school,Male,58
34,12,16,12,12,High school,Female,25
18,8,Not applicable,12,Not applicable,Lt high school,Male,33
36,12,16,12,Not applicable,High school,Male,33
70,14,3,16,Not applicable,Junior college,Female,48
41,11,12,16,13,Lt high school,Female,31
34,12,12,15,14,High school,Female,50
57,12,Don't know,Not applicable,Not applicable,High school,Male,25
30,14,11,13,Not applicable,High school,Female,24
56,14,Don't know,11,Not applicable,Junior college,Female,32
53,12,6,14,Not applicable,High school,Female,31
54,18,12,Not applicable,17,Bachelor,Female,38
70,14,Don't know,12,Not applicable,High school,Female,60
37,12,12,12,Not applicable,High school,Male,49
59,9,Don't know,10,9,Lt high school,Male,37
51,10,7,4,Not applicable,High school,Female,37
52,14,Don't know,18,No answer,Junior college,Female,69
53,15,19,12,Not applicable,High school,Female,27
60,11,14,3,Not applicable,High school,Female,38
18,11,16,13,Not applicable,Lt high school,Female,65
33,9,20,Not applicable,12,Lt high school,Female,21
22,12,Not applicable,12,Not applicable,High school,Male,25
53,12,Not applicable,8,Not applicable,High school,Female,32
66,12,9,10,Not applicable,High school,Female,31
28,18,14,14,Not applicable,Graduate,Male,54
27,12,12,12,8,High school,Female,25
89 or older,12,Not applicable,6,Not applicable,High school,Male,27
26,12,Not applicable,12,13,High school,Male,25
28,14,13,13,14,High school,Female,35
66,14,14,12,14,Junior college,Female,0
59,14,11,Not applicable,13,High school,Male,34
80,16,14,12,12,Bachelor,Male,65
75,12,8,8,14,High school,Female,31
73,12,7,11,12,High school,Female,28
64,12,12,13,12,High school,Male,41
36,14,12,12,13,Junior college,Male,45
65,8,Don't know,Don't know,11,Lt high school,Male,49
82,12,16,12,Not applicable,High school,Male,56
29,13,12,10,Not applicable,High school,Female,31
37,16,20,20,13,Bachelor,Male,63
39,17,18,18,17,Bachelor,Male,52
40,14,12,18,14,Junior college,Female,53
39,16,16,16,16,Bachelor,Female,36
63,12,3,9,12,High school,Female,25
39,12,2,2,12,High school,Female,21
33,14,13,8,Not applicable,Junior college,Female,39
57,13,12,12,Not applicable,High school,Female,60
44,16,19,12,Not applicable,Junior college,Female,64
43,17,Not applicable,Don't know,12,Junior college,Female,64
48,15,12,12,13,Bachelor,Male,60
27,12,12,14,Not applicable,High school,Male,35
59,12,12,12,Not applicable,High school,Female,47
46,13,12,12,13,High school,Male,56
51,14,16,12,12,Junior college,Male,48
63,16,12,12,12,Bachelor,Male,75
76,12,Don't know,12,Not applicable,High school,Female,48
56,16,20,16,18,Bachelor,Female,39
39,13,12,12,13,High school,Male,32
34,14,Don't know,12,Not applicable,Junior college,Female,48
36,12,8,12,12,High school,Female,33
51,12,Not applicable,12,Not applicable,High school,Female,28
62,20,12,16,Not applicable,Bachelor,Male,35
75,14,4,8,Not applicable,High school,Female,48
68,12,11,Don't know,Not applicable,High school,Male,35
79,10,Don't know,12,Not applicable,High school,Female,31
66,14,12,12,Not applicable,High school,Female,53
20,10,Not applicable,14,11,Lt high school,Female,0
74,12,6,12,12,High school,Female,46
48,14,Don't know,11,Not applicable,High school,Female,64
52,13,16,12,12,High school,Female,53
87,14,Not applicable,12,Not applicable,High school,Male,49
39,14,12,12,12,Junior college,Male,24
35,14,12,12,10,High school,Female,38
30,14,Not applicable,7,Not applicable,High school,Female,31
20,13,12,12,Not applicable,High school,Female,35
49,12,8,12,16,High school,Female,49
36,17,3,2,7,Bachelor,Female,31
40,7,Don't know,5,7,Lt high school,Male,28
62,12,9,10,15,High school,Male,49
22,12,Not applicable,12,Not applicable,High school,Female,25
38,20,Not applicable,12,12,Graduate,Female,61
59,16,20,18,13,Graduate,Male,66
25,15,Not applicable,14,13,High school,Female,55
55,12,16,7,12,High school,Female,39
37,12,12,12,12,High school,Female,55
72,16,16,16,16,Graduate,Female,74
58,9,7,7,10,Lt high school,Female,25
65,12,12,10,10,High school,Female,55
46,12,Don't know,Don't know,12,High school,Female,38
50,12,12,12,12,High school,Female,48
85,12,3,7,12,High school,Male,50
73,16,12,Don't know,18,Bachelor,Male,64
89 or older,12,8,10,Not applicable,High school,Male,59
69,14,8,Don't know,Not applicable,High school,Male,37
71,12,9,12,Not applicable,High school,Male,43
66,12,6,3,13,High school,Female,25
19,11,12,12,Not applicable,Lt high school,Male,0
56,6,Don't know,Don't know,9,Lt high school,Male,49
46,8,15,8,Not applicable,Lt high school,Male,35
49,14,10,11,11,High school,Female,55
34,14,Not applicable,16,Not applicable,High school,Female,21
31,14,14,11,12,High school,Female,24
32,12,Don't know,12,Not applicable,High school,Female,24
26,17,18,20,Not applicable,Bachelor,Male,48
53,12,12,12,Not applicable,High school,Male,28
49,12,12,12,Not applicable,High school,Male,31
20,13,13,Don't know,Not applicable,High school,Female,31
39,12,16,18,Not applicable,High school,Female,62
38,12,9,12,14,High school,Female,59
33,19,Not applicable,12,Not applicable,Graduate,Male,69
63,12,8,8,12,High school,Male,49
82,9,Don't know,8,9,Lt high school,Male,35
47,12,8,Don't know,Not applicable,High school,Female,32
38,14,12,12,13,Junior college,Male,35
25,14,16,16,Not applicable,High school,Male,50
55,9,Not applicable,Don't know,Not applicable,Lt high school,Female,33
55,10,Don't know,Don't know,16,High school,Female,25
74,16,8,16,Not applicable,Bachelor,Female,61
77,12,8,8,18,High school,Male,45
61,12,12,12,Not applicable,High school,Female,39
29,12,12,13,Not applicable,High school,Male,38
29,12,12,12,12,High school,Female,36
31,12,12,13,Not applicable,High school,Female,47
37,12,16,Not applicable,Not applicable,High school,Female,48
74,12,12,8,Not applicable,High school,Male,46
80,14,10,12,Not applicable,Junior college,Female,48
78,12,8,8,Not applicable,High school,Female,55
59,12,6,8,11,High school,Male,41
39,12,10,9,12,High school,Female,21
59,12,12,12,Not applicable,High school,Male,38
52,12,12,12,11,High school,Male,46
44,16,Not applicable,20,16,Bachelor,Female,17
36,12,12,12,Not applicable,High school,Female,49
83,12,12,Not applicable,12,High school,Male,60
47,12,12,14,Not applicable,High school,Female,31
65,12,12,12,20,High school,Male,46
37,12,12,12,12,High school,Male,35
56,16,16,12,16,Bachelor,Female,64
40,12,12,12,16,High school,Male,42
39,16,16,16,19,Graduate,Male,59
30,19,12,12,Not applicable,Bachelor,Female,35
29,15,12,12,Not applicable,Graduate,Male,46
24,12,16,16,Not applicable,High school,Female,33
59,12,12,9,Not applicable,High school,Female,48
44,14,Don't know,12,16,High school,Male,45
59,16,12,18,Not applicable,Bachelor,Male,43
39,18,Not applicable,12,Not applicable,Graduate,Male,55
72,14,8,12,Not applicable,High school,Female,48
56,10,Don't know,Don't know,Not applicable,High school,Female,48
36,14,11,12,Not applicable,High school,Female,35
82,12,9,Don't know,12,High school,Male,35
35,13,12,12,Not applicable,High school,Female,39
37,15,11,14,12,Junior college,Male,49
62,12,12,12,18,High school,Male,35
33,20,12,11,12,Graduate,Female,61
25,12,12,12,Not applicable,High school,Male,48
40,16,16,16,18,Junior college,Female,45
63,14,17,12,Not applicable,Junior college,Female,50
50,20,14,13,19,Graduate,Female,64
71,14,12,12,12,High school,Male,35
77,8,4,3,Not applicable,Lt high school,Male,36
33,12,12,No answer,Not applicable,High school,Male,27
54,12,Not applicable,11,Not applicable,High school,Male,29
41,12,Not applicable,14,13,High school,Male,33
51,17,12,12,12,Bachelor,Male,40
42,12,12,12,Not applicable,High school,Female,31
73,13,11,10,12,High school,Male,60
23,12,14,13,Not applicable,High school,Male,24
57,12,Don't know,Don't know,Not applicable,High school,Male,45
65,19,9,12,No answer,Bachelor,Male,59
58,2,0,0,6,Lt high school,Male,44
59,13,10,12,Not applicable,High school,Male,44
27,18,14,14,20,Graduate,Female,44
29,16,18,13,Not applicable,Bachelor,Male,33
32,12,Not applicable,12,18,High school,Female,40
32,11,14,12,Not applicable,Lt high school,Male,49
27,13,10,12,Not applicable,High school,Male,24
40,12,Not applicable,12,14,High school,Female,25
30,17,12,12,17,Bachelor,Female,53
68,14,Not applicable,Don't know,Not applicable,Junior college,Female,64
47,17,11,11,Not applicable,Bachelor,Female,35
51,9,9,10,Not applicable,Lt high school,Male,45
56,11,Don't know,10,12,Lt high school,Female,33
70,10,6,12,Not applicable,High school,Male,34
80,13,Don't know,Don't know,12,High school,Male,32
53,8,7,12,14,Lt high school,Female,31
79,12,8,Not applicable,Not applicable,High school,Male,44
57,12,8,12,14,High school,Female,47
59,10,Not applicable,13,Not applicable,High school,Female,25
61,12,12,12,12,Lt high school,Female,28
45,12,12,12,Not applicable,High school,Male,59
66,12,0,0,Not applicable,High school,Male,33
55,12,8,8,Not applicable,High school,Female,45
60,12,Not applicable,13,12,High school,Female,48
79,12,Don't know,Don't know,Not applicable,High school,Female,60
55,12,8,Don't know,12,High school,Male,49
48,14,Not applicable,11,14,High school,Female,47
56,14,Not applicable,8,Not applicable,Junior college,Female,24
66,12,Don't know,12,12,High school,Male,28
30,19,12,12,15,Graduate,Female,61
21,12,12,12,Not applicable,High school,Female,48
29,12,12,14,Not applicable,High school,Male,37
81,12,Don't know,8,12,High school,Female,31
57,12,12,8,Not applicable,High school,Female,48
37,12,11,12,Not applicable,High school,Male,28
77,8,7,6,12,Lt high school,Male,29
67,10,0,0,Not applicable,Lt high school,Male,27
34,3,6,0,4,Lt high school,Female,22
24,16,14,16,Not applicable,Bachelor,Female,61
21,16,14,12,Not applicable,High school,Female,45
30,6,0,Not applicable,Not applicable,Lt high school,Male,37
28,13,Not applicable,16,Not applicable,Junior college,Female,0
22,14,Not applicable,11,Not applicable,High school,Female,48
84,4,Don't know,7,8,Lt high school,Male,35
65,12,8,8,12,High school,Male,24
74,12,6,Not applicable,12,High school,Male,49
89 or older,12,3,3,Not applicable,High school,Female,31
46,12,Not applicable,12,Not applicable,High school,Male,39
74,8,Don't know,Don't know,Not applicable,Lt high school,Female,32
34,11,Not applicable,11,10,Lt high school,Female,50
34,14,Don't know,9,11,Junior college,Female,38
64,10,Don't know,Don't know,Not applicable,Lt high school,Female,25
40,15,12,12,12,Junior college,Female,45
56,14,Not applicable,11,11,Junior college,Male,38
26,14,Not applicable,12,Not applicable,High school,Female,0
64,13,Not applicable,8,Not applicable,High school,Male,44
68,17,12,12,Not applicable,Graduate,Female,38
30,12,Not applicable,12,12,High school,Female,32
41,12,9,12,Not applicable,High school,Female,45
22,12,Not applicable,Don't know,Not applicable,High school,Male,0
66,11,Not applicable,20,Not applicable,High school,Female,32
35,12,10,4,11,High school,Female,39
43,9,9,10,10,Lt high school,Male,35
48,12,Not applicable,12,12,High school,Female,38
34,6,2,0,Not applicable,Lt high school,Male,34
60,10,16,12,14,High school,Male,31
52,11,Not applicable,Don't know,Not applicable,Lt high school,Female,35
37,11,Not applicable,20,Not applicable,High school,Female,64
25,11,Not applicable,12,Not applicable,Lt high school,Female,0
41,10,Don't know,12,Not applicable,High school,Female,34
41,12,Not applicable,12,Not applicable,High school,Male,34
77,9,5,0,Not applicable,Lt high school,Female,39
23,13,Not applicable,12,Not applicable,High school,Female,33
53,12,Not applicable,6,Not applicable,High school,Female,40
30,10,Not applicable,16,Not applicable,High school,Male,20
21,13,Not applicable,12,Not applicable,High school,Female,25
75,6,Not applicable,Don't know,Not applicable,Lt high school,Male,35
77,12,Don't know,Don't know,12,High school,Male,46
68,10,Don't know,9,13,Lt high school,Male,38
28,12,Don't know,16,11,High school,Female,47
20,12,Not applicable,12,Not applicable,High school,Female,0
66,6,Don't know,Don't know,Not applicable,Lt high school,Male,27
52,10,Not applicable,5,Not applicable,Lt high school,Male,28
40,12,12,12,12,High school,Male,37
31,12,12,14,11,High school,Female,0
32,12,Not applicable,12,Not applicable,High school,Male,24
53,9,Not applicable,Don't know,Not applicable,High school,Female,34
78,14,Not applicable,12,Not applicable,High school,Male,59
54,13,11,12,12,High school,Male,60
25,14,14,16,Not applicable,High school,Female,40
53,8,Not applicable,12,12,Lt high school,Female,28
54,12,8,12,Not applicable,High school,Female,48
26,12,12,12,Not applicable,High school,Male,57
75,Don't know,Don't know,Don't know,Don't know,Lt high school,Male,35
56,17,12,12,14,Bachelor,Male,50
36,20,16,14,20,Graduate,Female,74
52,12,Not applicable,6,Not applicable,High school,Female,48
68,10,Don't know,Don't know,12,High school,Male,25
67,12,9,9,Not applicable,High school,Male,25
53,15,12,11,12,Bachelor,Male,70
43,14,12,12,12,Junior college,Female,49
38,16,16,16,16,Bachelor,Female,45
68,12,11,11,Not applicable,High school,Female,35
57,16,16,16,Not applicable,Bachelor,Female,21
39,12,Not applicable,11,Not applicable,High school,Male,29
66,16,20,12,Not applicable,Bachelor,Male,36
74,17,12,16,Not applicable,Graduate,Male,73
39,14,13,Not applicable,Not applicable,High school,Female,31
50,14,12,11,12,Junior college,Male,44
74,12,Don't know,15,Not applicable,High school,Female,47
35,17,16,14,20,Bachelor,Female,64
76,20,12,12,16,Graduate,Male,72
65,18,12,12,Not applicable,Graduate,Female,61
54,18,14,12,17,Graduate,Female,59
25,16,14,14,Not applicable,Bachelor,Female,58
87,12,12,8,Not applicable,High school,Female,33
46,12,12,Not applicable,Not applicable,High school,Female,48
29,14,10,16,10,High school,Female,31
89 or older,8,6,Don't know,Not applicable,Lt high school,Male,35
68,14,12,14,Not applicable,High school,Female,49
19,12,12,16,Not applicable,High school,Male,0
37,12,12,13,Not applicable,High school,Female,47
75,12,8,8,8,High school,Female,28
67,12,12,14,12,High school,Female,40
72,16,14,12,14,High school,Male,47
79,12,8,8,Not applicable,High school,Female,33
